time,micro_id,macro_dominant,macro_weights_sum_sq,closure_coherence,integration,differentiation,path_coherence,dominant_subsystem,env_x,env_y,goal_prox,hazard_prox,perc_range,perc_focus,perc_mode,n_visible,heading_x,heading_y,speed,conflict_angle,clarity,curvature,inner_outer_ratio,force_mag_0,force_mag_1,force_mag_2,force_mag_3,force_mag_4,force_mag_5,force_mag_6,force_mag_7,clarity_decomp_0,clarity_decomp_1,clarity_decomp_2,clarity_decomp_3,clarity_decomp_4,clarity_decomp_5,clarity_decomp_6,clarity_decomp_7,clarity_rate,clarity_persistence,clarity_grad_mag,u_dim0,u_dim1,u_dim2,u_dim3,resultant_dir_0,resultant_dir_1,resultant_dir_2,resultant_dir_3
1797,115,20,0.3953048800068907,0.6696346403198732,0.18967203395283158,0.3816466370045957,-0.07376846627797468,Planning,4.480519746052189,10.73056513455708,0.02608921828311694,0.010173347578333033,6.171649635723824,0.7886176017450447,vigilant,0,0.932921562850605,0.3600796544771517,0.8245944694959146,1.561309139587616,0.42723143977557954,0.2565438226893586,2.3899297031146567,0.9854952839843741,0.9997226662427071,0.7187438689344701,0.7160732411661813,0.9946454848257934,0.8799958116904196,0.9999981090898273,0.9275978404823371,0.025559424260432544,0.23400755132769793,0.009230230583019408,-0.016427063029876204,0.0032887839312912047,-0.03640158848919265,-0.01814244630057278,0.22611654749278015,0.05253730725579947,-0.07287244886235153,0.54235411914134,0.36010303278168376,0.13898893624454403,0.7215406799255073,0.5747929267098546,0.5831592288858441,0.6892765861629158,0.21059528153674129,-0.3747969169127797
1798,136,20,0.3526086181641024,0.6090540363462772,0.2272985151275768,0.38039243699563285,-0.15658653300262387,Social,5.309139429913386,10.468954916675514,0.022424389453875832,0.013268475319793775,6.329244079553044,0.7023550486968981,vigilant,0,0.9536022121417234,-0.30106946208211127,0.8689364111269997,2.076003252996925,0.17874472642581019,0.2779148595862053,2.121901704347974,0.932912537801883,0.9902939337465677,0.6923720364083298,0.8182988969787149,0.9877015124354968,0.9112171692705693,0.994601703320344,0.988409896885719,-0.0012033785383229636,-0.03266535815421028,0.027536555695233514,-0.026465139291047844,-0.08554866156298119,0.31679104407283587,-0.038184964720367136,0.01848462892467023,-0.24848671334976935,-0.1334997616460331,0.8578701343634065,0.4065261809131887,-0.12834766640792872,0.6737285337712764,0.6036167522047267,-0.006445349662363852,-0.6499624722439005,0.5479115980384182,-0.5265929384992868
1799,204,12,0.3607787337265806,0.6341903503826031,0.219024816812564,0.393964831230731,-0.23390936028487347,Emotion,6.138509128428088,10.682691697544243,0.0301025524298673,0.01292621308362016,6.042371202627658,0.7225317265433087,vigilant,0,0.9683603556516269,0.2495560490195631,0.8564680427841389,1.9546029067738993,0.4193966763933978,0.3869915090180789,2.1925260878708293,0.9136391305799388,0.9917292353249331,0.7389789264276778,0.7972746133991436,0.9257186294252983,0.8236120920189196,0.9987703284507532,0.9902412094866283,-0.016417396985283977,0.014454627633946433,0.06646799844985955,-3.254919434140402e-05,0.41643263947923664,-0.009022401054544563,-0.01902979678679469,-0.03345644514868034,0.2406519499675876,-0.1839707996773845,0.6084312489374532,0.40184141477640983,0.10355851023718418,0.8412208829022282,0.34662157823358936,-0.6492184368068318,0.5716016229080775,0.5017821731223628,-0.0012871423948105066
1800,102,3,0.3187353141496836,0.6505409898345549,0.2688491802780096,0.41707111139649394,-0.4156452526402468,Intuition,6.77990629016586,10.743833312379346,0.0311620031981348,0.015284706406881624,7.047325297413369,0.5426351047635125,exploration,1,0.9954872405656938,0.09489548920207178,0.6443047540953847,2.5237556714334777,0.34615078474078803,0.3482179811835366,4.390120939570441,0.9157092738096316,0.9946233632601678,0.5406916052761911,0.9380050528115109,0.9775037869696948,0.8531864430097511,0.9368488466472938,0.9992374016196549,-0.006075962176352127,0.004681132984044557,-0.08464028959842944,0.14197988873892095,0.014106945391095062,-0.011896424739331191,0.31712208713710244,-0.02912659299626226,-0.07324589165260975,-0.15822458890908855,2.64257669645748,0.22109296864681346,0.021075835594793972,0.754950660100201,0.6170277053611054,-0.16015107633517864,0.12338597402867106,-0.3200656636925018,0.925573068475287
1801,183,20,0.3567345285688113,0.7164861841423382,0.22304737561076257,0.4266743859713564,-0.5515287147331862,Aesthetic,7.430612963774236,11.3964149369539,0.03249538719521694,0.016090119302849724,6.529703960601205,0.7319193937527737,vigilant,0,0.7060887847596046,0.7081233141457107,0.9215649471474275,2.174605363326405,0.3825234985120686,0.39184246304202475,1.8568895178321498,0.975252735570271,0.9997778799038801,0.6557815866698765,0.7869414229803545,0.9899477626838482,0.854818030690074,0.9952329521713954,0.9600092919153693,0.015915564649148714,0.17371480198694111,0.007751519707143218,-0.015624463717773476,0.1054515749877703,-0.02384980497429413,-0.01652931639666293,0.13569362226979592,0.036372713771280596,-0.36266178241511726,0.8468296928444727,0.33479196336775857,0.33575663537842615,0.7744077527077726,0.4188966884684303,0.28113461059397543,0.8846453305198633,0.16531597006749676,-0.3332215478570053
1802,340,17,0.2983535505612931,0.743423711525851,0.3010866035532732,0.46605649520987597,-0.5279554191432332,Emotion,8.011052895531424,12.36857622787568,0.024498354006210712,0.022195086030930993,6.646446516246636,0.5932276819279012,exploration,0,0.512639302896237,0.8586040677320719,1.1322579608662469,2.095372284668501,0.28816318965682836,0.5864659486509157,1.120987661442292,0.9422920667301875,0.9419487669426125,0.6326868265990291,0.9080338985306078,0.9999997673519462,0.9506800706382299,0.9678873593232963,0.9982300323758718,-0.0514197420828544,0.07241992974598503,-0.012481530319167159,0.006123797053941529,0.36108860698901235,-0.06003439814470796,0.013155953151720847,-0.04068942673710188,-0.09436030885524027,-0.13485746344491975,0.4914359365153197,0.3412583732715389,0.5715633307535926,0.7384231794558499,-0.10765347022848964,-0.5719689683422281,0.8055651644610835,-0.13883865060079406,0.06811823661594066
1803,272,12,0.35958922113364633,0.7494807885337451,0.22019351145968794,0.40993832870451047,-0.388156213165488,Memory,8.839493709056583,13.05641709180637,0.01523299068244691,0.03494332649765609,6.4305390767351,0.37535742915994275,exploration,0,0.7693739720680515,0.6387986311070408,1.076772601623549,1.4519433085567317,0.2650415548017174,0.2738392653851941,1.2813271520441232,0.9399695316035077,0.8205579518864994,0.6743375987863482,0.9941884781649697,0.9866508058828062,0.9930150528401408,0.8012971635236236,0.9482821712799857,0.018194644981675192,0.020977070124659,-0.0018706233544450131,0.22629823615706293,0.004512587687084522,-0.004964974978009683,0.018483836863335972,-0.01658922267964555,-0.02312163485511093,-0.20647469089415,1.384933968503161,0.47335565881630803,0.3930194649889761,0.7871377198538542,0.043408644181007275,0.09259841568391419,0.14241996008967392,-0.009368627405705087,0.9854208832785195
1804,204,20,0.35004221033172134,0.769505171646801,0.23002099672914653,0.4111802278814951,-0.3988924981122716,Attention,9.608334074286926,13.543393120002685,0.013306648839712621,0.04456240884860617,6.722826319123125,0.3303860509267051,exploration,1,0.844797321847413,0.5350864275978588,0.9100885447281398,2.3264985703376992,0.16337995093206792,0.39218021437385814,1.9106129168242691,0.8808713957129426,0.9195301501584888,0.6167772674082269,0.9990574005394688,0.9983852202011654,0.9603829439540456,0.850548955362404,0.9526661432288606,0.034303302869554984,-0.027201749292401795,0.05017165467555427,0.031030393710920746,-0.019549601516803752,0.018141455618532313,0.09368529038027272,-0.017200795513561625,-0.10166160386964951,0.0027874210252181813,3.8480607201433057,0.3917467604467062,0.24812859741560997,0.7926733910218642,0.3957720934957034,0.17495535397265585,-0.5464752561080319,0.12299116007316992,0.80970895581179
1805,162,20,0.47912706063895966,0.7414552170159806,0.1433686845242672,0.35230271117924616,-0.26883319665884453,Social,10.396363638555684,14.26408900841859,0.014417937030707461,0.04860708392667179,6.756040346131185,0.5770404654469923,exploration,1,0.7379300730751662,0.6748771793825006,1.0678919223129277,2.685508360873624,0.1812569267310009,0.21833728962715251,1.3086329258841352,0.9200730800377763,0.9687271018781326,0.6096465226664355,0.9183487610256341,0.9948300917330178,0.9228951624712692,0.959809709492313,0.9999959491651754,0.12818964688967216,0.009685106471668953,-0.004619978340814549,-0.055697705159601506,-0.01818118182410977,-0.03203175440136897,-0.009810160149274836,0.1637229532448294,0.017876975798932992,0.21468026029587098,0.3276686216901523,0.4480523045806291,0.4097681969662772,0.6640601867589753,0.43630632069296044,0.8174986122446276,0.042792041663224305,-0.1392002438359101,-0.5572146375180966
1806,162,20,0.34634342918389716,0.6851028265047909,0.2340544771760082,0.4520471056483543,-0.26716539327621225,Aesthetic,10.914528390442241,15.091339099976436,0.013568378807971218,0.05426162579322369,5.984361120553851,0.6054144244850723,exploration,1,0.5308336723253221,0.847476024631737,0.976133917083164,2.0943669575523978,0.2197365542835867,0.1922596633569055,1.626451212662992,0.8940073424446635,0.9121896849870682,0.747679115357729,0.899798194439235,0.9996335146129453,0.9837010680674241,0.9869468515210297,0.999965507370067,0.07025503065990923,0.011592010967531772,-0.005167126269783738,-0.08943747875115192,-0.04906107590566104,-0.02638493956668759,-0.01620914458832861,0.3241492777377586,0.0384796275525858,0.3138175474587197,0.574566406107218,0.27802843905129865,0.44387243791377323,0.7437032796661065,0.4154309301834168,0.6208280991043583,0.2948163521399826,-0.131414056159329,-0.7144131407785663
